loan_id,balance,mortgage_rate,seasoning_months,fico,ltv,state
1,323554.45,0.04992,163,748,0.7545,GA
2,176664.4,0.049505,150,780,0.7244,VA
3,395419.71,0.045533,97,674,0.8569,CA
4,430737.49,0.056785,163,727,0.8499,AZ
5,117246.54,0.054846,136,777,0.8028,Other
6,157002.85,0.036594,43,743,0.7853,Other
7,298799.54,0.035985,223,806,0.712,CA
8,244676.16,0.056747,256,669,0.8147,NJ
9,279970.49,0.044347,13,664,0.7592,Other
10,192168.95,0.05552,120,775,0.7479,NC
11,419043.11,0.060309,290,779,0.7028,CA
12,400314.74,0.03979,206,731,0.8489,AZ
13,290603.13,0.038385,160,758,0.754,WA
14,468484.62,0.069244,190,774,0.7871,VA
15,348146.69,0.056016,268,703,0.7888,NY
16,191629.36,0.048308,131,708,0.7747,PA
17,333013.35,0.043161,141,749,0.8022,NC
18,183230.98,0.047396,125,781,0.7574,NY
19,418864.45,0.040594,133,688,0.8423,VA
20,275828.16,0.061334,247,731,0.7833,TX
21,259577.85,0.044732,56,729,0.8292,TX
22,207644.28,0.063435,169,759,0.7953,WA
23,489012.63,0.048494,61,740,0.6712,FL
24,263145.33,0.042066,89,715,0.7893,CA
25,232641.16,0.048237,166,796,0.781,WA
26,240756.16,0.026258,141,716,0.7504,VA
27,358448.09,0.051292,90,727,0.7069,VA
28,332518.18,0.050799,331,668,0.8371,FL
29,339669.95,0.060747,130,708,0.8345,PA
30,342446.07,0.033637,147,763,0.7365,CA
31,739508.77,0.064119,105,754,0.8322,CA
32,234946.53,0.060706,102,767,0.8482,TX
33,224020.04,0.06502,138,765,0.6615,NJ
34,195595.16,0.051973,136,834,0.6772,PA
35,372201.53,0.062639,158,706,0.6961,CA
36,468849.7,0.037788,226,667,0.8779,WA
37,267995.01,0.05963,103,693,0.7878,Other
38,193286.65,0.044788,123,708,0.7847,CA
39,194654.89,0.035986,78,696,0.8765,WA
40,378044.33,0.041259,109,744,0.71,PA
41,394141.15,0.052555,251,796,0.6512,NJ
42,360201.7,0.044257,56,809,0.6048,NJ
43,209090.12,0.056261,28,763,0.8231,NC
44,313160.96,0.034418,231,836,0.7466,TX
45,297303.45,0.031229,8,724,0.7795,PA
46,311268.1,0.066224,162,667,0.7811,TX
47,417543.06,0.061538,294,787,0.7799,CA
48,311956.18,0.042007,134,657,0.97,IL
49,382893.09,0.05247,119,706,0.7984,TX
50,290805.69,0.062695,174,763,0.6994,NC
51,321291.38,0.056692,17,735,0.8465,GA
52,374774.47,0.053982,57,731,0.7314,TX
53,146426.65,0.063452,134,687,0.8088,WA
54,244298.95,0.045193,160,740,0.6481,FL
55,228280.93,0.052812,47,785,0.7248,GA
56,211611.0,0.052322,136,741,0.7152,TX
57,249243.59,0.049772,310,703,0.8758,TX
58,552784.54,0.048602,118,684,0.781,WA
59,191066.34,0.053229,297,704,0.851,AZ
60,436142.92,0.052844,234,758,0.7588,FL
61,132284.29,0.042016,104,755,0.7729,FL
62,242632.14,0.060518,258,704,0.8381,GA
63,303530.96,0.042736,155,641,0.8653,TX
64,367250.72,0.050318,111,759,0.7307,WA
65,388501.36,0.049547,115,700,0.775,CA
66,403126.73,0.056081,33,771,0.7779,CA
67,241125.72,0.031309,84,706,0.7151,CA
68,229106.37,0.061409,28,696,0.903,FL
69,415022.97,0.04573,323,747,0.7804,WA
70,258826.45,0.0647,223,846,0.6689,PA
71,158885.83,0.047718,151,774,0.7631,CA
72,169400.46,0.052012,309,746,0.745,CA
73,186511.18,0.071638,138,756,0.7569,TX
74,352823.19,0.049727,167,661,0.7936,PA
75,300767.13,0.064888,20,689,0.8441,PA
76,384892.14,0.05289,176,627,0.8765,CA
77,232753.75,0.056654,84,818,0.72,NC
78,302956.0,0.0532,266,809,0.7928,PA
79,373814.77,0.060979,139,758,0.7238,Other
80,245436.63,0.045645,67,746,0.7682,IL
81,346469.08,0.04266,123,670,0.7597,FL
82,209427.59,0.046114,281,730,0.8164,CA
83,239575.95,0.053497,189,821,0.7071,AZ
